Position,Track Name,Artist,Streams,URL,Date,Region,lat,long
1,Reggaetón Lento (Bailemos),CNCO,19272,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,1/1/2017,ec,-1.3397668,-79.3666965
2,Chantaje,Shakira,19270,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,1/1/2017,ec,-1.3397668,-79.3666965
3,Otra Vez (feat. J Balvin),Zion & Lennox,15761,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,1/1/2017,ec,-1.3397668,-79.3666965
4,Vente Pa' Ca,Ricky Martin,14954,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,1/1/2017,ec,-1.3397668,-79.3666965
5,Safari,J Balvin,14269,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,1/1/2017,ec,-1.3397668,-79.3666965
1,One Dance,Drake,89403,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,1/1/2017,fr,46.603354,1.8883335
2,Starboy,The Weeknd,80882,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/1/2017,fr,46.603354,1.8883335
3,24K Magic,Bruno Mars,80838,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,1/1/2017,fr,46.603354,1.8883335
4,My Way,Calvin Harris,72133,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,1/1/2017,fr,46.603354,1.8883335
5,Mauvaise graine,Nekfeu,71082,https://open.spotify.com/track/4kKJ5CjwCtksszPMntho4N,1/1/2017,fr,46.603354,1.8883335
1,Chantaje,Shakira,253019,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,1/1/2017,ar,-34.9964963,-64.9672817
2,Vente Pa' Ca,Ricky Martin,223988,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,1/1/2017,ar,-34.9964963,-64.9672817
3,Reggaetón Lento (Bailemos),CNCO,210943,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,1/1/2017,ar,-34.9964963,-64.9672817
4,Safari,J Balvin,173865,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,1/1/2017,ar,-34.9964963,-64.9672817
5,Shaky Shaky,Daddy Yankee,153956,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,1/1/2017,ar,-34.9964963,-64.9672817
1,Hukutaan,Arttu Lindeman,60220,https://open.spotify.com/track/0i8qXP5jTcu3dPfwZrboV3,1/1/2017,fi,63.2467777,25.9209164
2,Alone,Alan Walker,56319,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,1/1/2017,fi,63.2467777,25.9209164
3,Loistat Pimeäs,Mikael Gabriel,48022,https://open.spotify.com/track/3bCuspxImskpiHF3udYdFI,1/1/2017,fi,63.2467777,25.9209164
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,44903,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/1/2017,fi,63.2467777,25.9209164
5,Sinuhe,Profeetat,38004,https://open.spotify.com/track/1muAf2i6NwO1O7MMEr0A8O,1/1/2017,fi,63.2467777,25.9209164
1,Alone,Alan Walker,103886,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,1/1/2017,no,60.5000209,9.0999715
2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,85990,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/1/2017,no,60.5000209,9.0999715
