,Position,Track Name,Artist,Streams,URL,Date,Region
0,1,Reggaetón Lento (Bailemos),CNCO,19272,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-01,ec
1,1,One Dance,Drake,89403,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-01,fr
2,1,Chantaje,Shakira,253019,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,ar
3,1,Hukutaan,Arttu Lindeman,60220,https://open.spotify.com/track/0i8qXP5jTcu3dPfwZrboV3,2017-01-01,fi
4,1,Alone,Alan Walker,103886,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,2017-01-01,no
5,1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,71014,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,it
6,1,Starboy,The Weeknd,2583,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,lt
7,1,Versace On The Floor,Bruno Mars,185236,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,2017-01-01,ph
8,1,Closer,The Chainsmokers,18651,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,tw
9,1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,28957,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,nz
10,1,Starboy,The Weeknd,1950,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,ee
11,1,Gece Gölgenin Rahatına Bak,Çağatay Akman,80607,https://open.spotify.com/track/3P31rcl0ym5paqRdwSiZps,2017-01-01,tr
12,1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1371493,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,2017-01-01,us
13,1,Reggaetón Lento (Bailemos),CNCO,5981,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-01,sv
14,1,Reggaetón Lento (Bailemos),CNCO,20171,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-01,cr
15,1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,229398,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,de
16,1,Chantaje,Shakira,136652,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,cl
17,1,Closer,The Chainsmokers,6342,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,jp
18,1,Deu Onda,MC G15,612271,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF,2017-01-01,br
19,1,Otra Vez (feat. J Balvin),Zion & Lennox,6762,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-01-01,hn
20,1,Reggaetón Lento (Bailemos),CNCO,9124,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-01,gt
21,1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,14352,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,ch
22,1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,6263,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,hu
23,1,Starboy,The Weeknd,139175,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,ca
24,1,Chantaje,Shakira,39602,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,pe
25,1,Hey Baby,Dimitri Vegas & Like Mike,23277,https://open.spotify.com/track/6yc377A8qxHIjPUcjGD4ET,2017-01-01,be
26,1,Closer,The Chainsmokers,27062,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,my
27,1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,50956,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,dk
28,1,Reggaetón Lento (Bailemos),CNCO,6784,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-01,bo
29,1,Let Me Love You,DJ Snake,26290,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,pl
30,1,Alone,Alan Walker,12990,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,2017-01-01,at
31,1,Starboy,The Weeknd,15397,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,pt
32,1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,129472,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,se
33,1,Chantaje,Shakira,395069,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,mx
34,1,Chantaje,Shakira,9081,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,pa
35,1,Cuando Se Pone a Bailar,Rombai,15516,https://open.spotify.com/track/1MpKZi1zTXpERKwxmOu1PH,2017-01-01,uy
36,1,Starboy,The Weeknd,3311,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,is
37,1,Chantaje,Shakira,189721,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,es
38,1,Closer,The Chainsmokers,6406,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,cz
39,1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,24914,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,ie
40,1,Energie,Ronnie Flex,112252,https://open.spotify.com/track/1riPE3NCV1OBmSXqpYiMJY,2017-01-01,nl
